,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
ZIP,"NATIVE
AMERICAN",ASIAN,BLACK,PACIFIC ISLANDER,WHITE,"MULTI
RACE","UNK /
MISSING","
HISPANIC","NON
HISPANIC","UNK /
MISSING","WITH
EARNED $","W/ ONLY
EARNED $"
75223,0.66%,0.21%,14.97%,0.02%,27.39%,0.02%,56.72%,75.41%,20.18%,4.41%,45.47%,42.92%
75224,0.61%,0.64%,31.06%,0.04%,16.26%,0.04%,51.36%,60.12%,34.89%,4.99%,47.87%,45.23%
75225,0.00%,7.14%,11.90%,0.00%,69.05%,0.00%,14.29%,14.29%,78.57%,4.76%,12.00%,12.00%
75226,0.30%,0.30%,27.88%,0.00%,34.85%,0.00%,36.67%,51.52%,44.55%,3.94%,25.82%,24.46%
75227,0.25%,0.30%,31.87%,0.02%,22.78%,0.06%,44.72%,59.11%,35.37%,5.53%,50.24%,47.47%
75228,0.64%,1.85%,30.57%,0.04%,26.17%,0.17%,40.56%,53.72%,40.23%,6.05%,49.14%,46.71%
75229,0.86%,0.89%,4.68%,0.05%,34.16%,0.03%,59.31%,84.88%,11.29%,3.82%,69.13%,66.07%
75230,0.38%,1.62%,20.33%,0.00%,26.62%,0.05%,51.05%,62.48%,31.95%,5.57%,57.91%,55.29%
75231,0.62%,10.82%,24.42%,0.04%,19.74%,0.08%,44.28%,51.89%,42.31%,5.80%,58.45%,56.15%
75232,0.36%,0.20%,56.01%,0.02%,12.46%,0.04%,30.91%,34.60%,58.50%,6.90%,38.06%,35.89%
75233,0.72%,0.29%,32.73%,0.06%,16.80%,0.03%,49.39%,58.29%,36.53%,5.21%,45.50%,43.08%
75234,0.61%,1.10%,7.85%,0.10%,38.54%,0.03%,51.74%,74.17%,21.59%,4.25%,58.95%,55.73%
75235,0.41%,0.69%,16.79%,0.05%,32.33%,0.03%,49.75%,71.13%,24.38%,4.49%,47.54%,45.34%
75236,0.37%,1.26%,53.72%,0.02%,12.22%,0.04%,32.37%,35.33%,58.57%,6.11%,44.68%,42.09%
75237,0.30%,0.14%,77.65%,0.07%,5.69%,0.06%,16.10%,12.38%,79.97%,7.65%,38.88%,36.70%
75238,0.54%,10.35%,23.60%,0.05%,29.28%,0.07%,36.11%,53.52%,41.12%,5.36%,59.97%,57.48%
75240,0.60%,0.81%,11.26%,0.01%,25.60%,0.07%,61.67%,77.10%,18.05%,4.85%,68.91%,66.64%
75241,0.31%,0.16%,80.68%,0.01%,5.09%,0.02%,13.74%,10.79%,81.74%,7.46%,29.36%,27.31%
75242,0.00%,0.00%,50.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
75243,0.55%,4.71%,47.40%,0.05%,22.16%,0.07%,25.05%,32.55%,61.48%,5.97%,48.77%,46.43%
75244,0.00%,1.85%,20.89%,0.00%,30.90%,0.00%,46.35%,63.66%,30.66%,5.56%,53.73%,51.49%
75246,0.23%,0.79%,22.08%,0.11%,25.93%,0.11%,50.85%,60.36%,35.33%,4.19%,41.86%,38.37%
75247,0.00%,1.40%,50.47%,0.47%,34.58%,0.00%,13.08%,14.49%,79.91%,6.07%,17.89%,15.45%
75248,0.68%,1.48%,22.89%,0.40%,40.35%,0.17%,34.08%,47.43%,47.66%,4.91%,50.83%,48.11%
75249,0.18%,0.62%,61.16%,0.04%,13.54%,0.13%,24.32%,28.51%,66.06%,5.43%,39.38%,37.32%
75250,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75251,1.22%,4.88%,40.24%,0.00%,25.61%,1.22%,25.61%,26.83%,65.85%,7.32%,35.14%,35.14%
75252,0.70%,3.65%,21.40%,0.07%,35.02%,0.14%,39.09%,46.32%,47.16%,6.53%,55.70%,53.53%
75253,0.50%,0.29%,11.94%,0.03%,37.22%,0.06%,49.98%,66.45%,28.88%,4.68%,57.39%,54.30%
75254,0.79%,1.13%,17.81%,0.15%,26.60%,0.07%,53.45%,67.73%,27.86%,4.41%,63.69%,61.57%
75257,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
