,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
ZIP,"NATIVE
AMERICAN",ASIAN,BLACK,PACIFIC ISLANDER,WHITE,"MULTI
RACE","UNK /
MISSING","
HISPANIC","NON
HISPANIC","UNK /
MISSING","WITH
EARNED $","W/ ONLY
EARNED $"
75258,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%
75261,0.00%,0.00%,66.67%,0.00%,33.33%,0.00%,33.33%,33.33%,66.67%,0.00%,100.00%,100.00%
75266,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,75.00%,75.00%,25.00%,0.00%,50.00%,0.00%
75271,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75275,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,100.00%,0.00%,0.00%,100.00%,100.00%
75277,0.00%,0.00%,57.14%,0.00%,7.14%,0.00%,42.86%,42.86%,57.14%,0.00%,50.00%,50.00%
75281,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%
75283,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75284,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75285,0.00%,0.00%,33.33%,0.00%,33.33%,0.00%,33.33%,0.00%,66.67%,33.33%,100.00%,100.00%
75287,0.51%,2.87%,41.26%,0.14%,26.78%,0.14%,28.30%,35.54%,58.12%,6.34%,50.98%,48.87%
75295,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75301,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75304,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
75307,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75308,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75312,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
75313,0.00%,0.00%,50.00%,0.00%,40.00%,0.00%,20.00%,10.00%,80.00%,10.00%,11.11%,11.11%
75315,0.00%,0.00%,76.92%,0.00%,0.00%,0.00%,15.38%,7.69%,76.92%,7.69%,10.00%,10.00%
75320,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
75321,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75323,0.00%,0.00%,75.00%,0.00%,0.00%,0.00%,25.00%,0.00%,75.00%,25.00%,0.00%,0.00%
75326,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
75327,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75334,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
75335,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75336,0.00%,0.00%,40.00%,0.00%,60.00%,0.00%,0.00%,0.00%,90.00%,10.00%,33.33%,33.33%
75339,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,33.33%,0.00%
75342,0.00%,0.00%,71.43%,0.00%,14.29%,0.00%,14.29%,0.00%,85.71%,14.29%,100.00%,100.00%
75346,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
75348,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75354,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75355,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%
75356,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75357,0.00%,0.00%,53.33%,0.00%,6.67%,0.00%,40.00%,40.00%,53.33%,6.67%,42.86%,28.57%
75358,0.00%,33.33%,0.00%,0.00%,66.67%,0.00%,0.00%,33.33%,66.67%,0.00%,0.00%,0.00%
75360,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%
75367,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75370,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,50.00%,50.00%,50.00%,0.00%,50.00%,50.00%
75371,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75372,0.00%,0.00%,33.33%,0.00%,33.33%,0.00%,33.33%,33.33%,33.33%,0.00%,0.00%,0.00%
75374,0.00%,0.00%,70.00%,0.00%,10.00%,0.00%,30.00%,10.00%,80.00%,20.00%,0.00%,0.00%
75376,0.00%,0.00%,91.67%,0.00%,0.00%,0.00%,8.33%,0.00%,91.67%,8.33%,16.67%,16.67%
75379,0.00%,0.00%,66.67%,0.00%,33.33%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75380,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75381,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75382,0.00%,0.00%,87.50%,0.00%,12.50%,0.00%,12.50%,12.50%,87.50%,12.50%,25.00%,25.00%
75390,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75401,0.34%,0.24%,25.54%,0.16%,41.18%,0.20%,32.36%,36.88%,56.94%,6.20%,46.68%,43.78%
75402,0.54%,0.81%,14.39%,0.00%,66.60%,0.34%,17.24%,15.00%,78.34%,6.65%,40.85%,37.48%
75403,0.00%,0.00%,37.50%,0.00%,50.00%,0.00%,12.50%,0.00%,87.50%,12.50%,0.00%,0.00%
75404,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%
75407,0.87%,0.64%,6.80%,0.16%,52.76%,0.04%,38.77%,42.66%,51.33%,5.96%,52.73%,49.22%
75408,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%
75409,0.54%,0.45%,9.46%,0.00%,56.61%,0.00%,32.95%,35.80%,57.32%,6.79%,52.24%,49.55%
75410,0.44%,0.22%,1.75%,0.00%,82.68%,0.22%,14.47%,12.06%,82.24%,5.48%,45.06%,41.36%
75411,0.67%,0.00%,1.33%,0.00%,88.67%,0.00%,8.67%,1.33%,88.67%,10.00%,34.48%,29.31%
75412,1.19%,0.00%,1.19%,0.00%,86.90%,0.00%,10.71%,7.14%,86.90%,5.95%,38.71%,29.03%
75413,0.00%,0.00%,2.63%,0.00%,94.74%,0.00%,2.63%,5.26%,92.11%,2.63%,31.58%,26.32%
75414,1.00%,0.33%,1.33%,0.00%,87.04%,0.00%,10.63%,5.98%,86.38%,7.64%,34.62%,32.69%
75415,0.00%,0.00%,26.92%,3.85%,46.15%,0.00%,26.92%,23.08%,73.08%,3.85%,22.22%,22.22%
75416,0.50%,0.00%,2.52%,0.00%,84.89%,0.00%,11.84%,5.04%,86.40%,8.82%,41.61%,38.26%
75417,0.52%,0.26%,1.57%,0.26%,87.66%,0.26%,9.45%,3.41%,89.50%,6.82%,32.88%,28.77%
75418,1.32%,0.26%,11.66%,0.00%,73.52%,0.90%,12.29%,16.77%,76.21%,6.96%,36.83%,33.87%
75420,0.00%,0.00%,3.57%,0.00%,74.11%,0.00%,22.32%,20.54%,74.11%,5.36%,40.00%,37.50%
75421,2.61%,0.00%,18.26%,0.00%,66.96%,0.00%,13.04%,7.83%,81.74%,11.30%,39.53%,34.88%
75422,0.00%,0.45%,3.15%,0.00%,84.68%,0.00%,11.71%,11.71%,83.78%,4.50%,42.68%,41.46%
75423,2.03%,0.29%,4.93%,0.00%,77.97%,0.00%,14.78%,13.62%,80.29%,6.09%,37.61%,33.33%
75424,0.30%,0.00%,0.91%,0.00%,77.74%,0.00%,21.34%,19.21%,75.30%,5.79%,49.56%,46.02%
75425,0.00%,0.00%,55.56%,0.00%,33.33%,0.00%,0.00%,0.00%,88.89%,0.00%,0.00%,0.00%
75426,0.46%,0.09%,50.23%,0.09%,32.28%,0.19%,16.56%,12.86%,79.74%,7.49%,39.41%,36.04%
75428,0.46%,0.29%,32.58%,0.23%,52.29%,0.29%,13.91%,12.52%,81.16%,6.32%,46.54%,43.66%
75429,0.00%,0.00%,57.14%,0.00%,28.57%,0.00%,14.29%,7.14%,85.71%,14.29%,44.44%,44.44%
75430,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75431,0.00%,0.00%,8.00%,0.00%,62.55%,0.00%,29.45%,33.45%,60.36%,5.82%,49.43%,48.28%
75432,0.68%,0.34%,26.01%,0.00%,61.99%,0.17%,11.15%,5.57%,86.15%,8.28%,36.24%,33.03%
75433,1.71%,0.34%,0.68%,0.68%,83.62%,0.00%,12.97%,7.85%,87.37%,5.12%,42.86%,40.82%
75434,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,66.67%,33.33%,0.00%,0.00%
75435,1.90%,1.90%,5.70%,0.00%,77.85%,0.00%,12.66%,8.86%,84.81%,5.70%,32.26%,29.03%
75436,0.00%,0.00%,18.75%,0.00%,66.54%,0.00%,14.34%,5.51%,84.93%,9.56%,31.63%,26.53%
75437,0.00%,0.00%,4.11%,1.37%,78.08%,0.00%,16.44%,5.48%,83.56%,10.96%,48.00%,44.00%
75438,0.00%,0.00%,3.19%,0.00%,80.85%,1.06%,14.89%,13.83%,76.60%,9.57%,40.00%,34.29%
75439,0.00%,0.00%,4.39%,0.00%,85.96%,0.88%,9.65%,8.77%,85.09%,7.02%,42.11%,39.47%
75440,0.72%,0.00%,6.89%,0.00%,74.32%,0.14%,18.08%,15.21%,78.34%,6.31%,43.87%,40.71%
75441,0.00%,0.00%,16.67%,0.00%,83.33%,0.00%,0.00%,0.00%,100.00%,0.00%,25.00%,25.00%
75442,1.38%,0.18%,6.98%,0.00%,57.30%,0.09%,34.16%,38.84%,55.46%,5.69%,51.01%,47.55%
75443,0.00%,0.00%,0.00%,0.00%,87.50%,0.00%,12.50%,0.00%,87.50%,12.50%,50.00%,50.00%
75444,0.00%,0.00%,0.00%,0.00%,87.50%,0.00%,0.00%,0.00%,87.50%,12.50%,33.33%,33.33%
75446,0.69%,0.00%,18.20%,0.00%,64.98%,2.76%,13.59%,17.74%,74.88%,7.60%,35.29%,32.35%
75447,3.19%,0.00%,0.00%,0.00%,88.30%,1.06%,8.51%,5.32%,89.36%,5.32%,30.30%,27.27%
75448,0.00%,0.00%,12.96%,0.00%,72.22%,0.00%,12.96%,11.11%,81.48%,5.56%,34.78%,34.78%
75449,1.86%,0.00%,34.88%,0.00%,51.16%,4.19%,7.44%,3.26%,89.77%,6.51%,33.33%,33.33%
75450,0.00%,0.00%,9.09%,0.00%,90.91%,0.00%,9.09%,0.00%,100.00%,9.09%,16.67%,0.00%
75451,2.31%,0.00%,12.31%,0.00%,76.92%,0.38%,8.85%,7.31%,88.46%,4.23%,35.87%,32.61%
75452,0.99%,0.17%,5.78%,0.00%,77.23%,0.50%,15.51%,22.94%,69.97%,7.10%,43.48%,40.58%
75453,0.59%,0.00%,1.47%,0.00%,85.92%,0.29%,11.73%,9.38%,84.75%,5.87%,34.11%,31.01%
75454,0.28%,0.83%,9.94%,0.00%,54.14%,0.00%,34.53%,35.08%,57.73%,6.91%,44.26%,42.62%
75455,0.39%,0.20%,13.91%,1.02%,36.81%,0.03%,47.62%,59.36%,35.79%,4.85%,58.60%,55.42%
75456,0.00%,0.00%,50.00%,0.00%,40.91%,0.00%,9.09%,13.64%,86.36%,4.55%,45.45%,36.36%
75457,1.20%,0.40%,11.12%,0.20%,66.53%,0.10%,20.54%,21.54%,72.95%,5.51%,48.08%,44.54%
75458,0.00%,0.00%,27.27%,0.00%,63.64%,0.00%,9.09%,0.00%,100.00%,0.00%,0.00%,0.00%
75459,1.07%,1.07%,2.99%,0.00%,76.55%,0.00%,18.12%,15.99%,77.83%,5.97%,46.01%,42.33%
75460,0.93%,0.21%,32.81%,0.03%,49.50%,0.13%,16.39%,11.74%,79.58%,8.66%,40.45%,36.76%
75461,7.14%,0.00%,14.29%,0.00%,71.43%,0.00%,7.14%,0.00%,85.71%,7.14%,22.22%,22.22%
75462,1.75%,0.11%,10.64%,0.00%,74.23%,0.00%,13.27%,9.98%,82.35%,7.68%,41.86%,39.53%
75465,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%
75468,0.00%,0.00%,1.04%,0.00%,93.75%,0.00%,5.21%,0.00%,94.79%,5.21%,31.25%,28.13%
75469,0.00%,0.00%,20.63%,0.00%,68.25%,0.00%,11.11%,6.35%,85.71%,7.94%,50.00%,43.75%
75470,1.75%,0.00%,0.00%,0.00%,80.70%,0.00%,19.30%,17.54%,82.46%,1.75%,55.56%,55.56%
75471,0.44%,0.00%,2.65%,0.00%,56.64%,0.00%,40.27%,47.79%,48.23%,3.98%,48.48%,43.94%
75472,0.56%,2.05%,1.87%,0.37%,83.77%,0.00%,11.38%,7.28%,86.38%,6.34%,37.24%,32.65%
75473,0.29%,0.00%,2.36%,0.00%,85.25%,0.00%,12.09%,4.72%,87.61%,7.67%,46.77%,42.74%
75474,0.39%,0.32%,1.47%,0.00%,82.85%,0.07%,14.87%,13.78%,79.87%,6.31%,36.01%,32.83%
75475,0.00%,0.00%,0.00%,0.00%,94.44%,0.00%,5.56%,11.11%,83.33%,11.11%,60.00%,40.00%
75476,0.00%,0.00%,2.00%,0.00%,88.00%,0.00%,10.00%,19.00%,78.00%,3.00%,43.59%,35.90%
75477,2.69%,0.00%,29.57%,0.00%,58.06%,0.00%,9.68%,7.53%,86.56%,6.45%,40.85%,36.62%
75478,0.79%,0.00%,4.76%,0.00%,70.63%,0.00%,24.60%,26.19%,69.05%,4.76%,42.86%,38.10%
75479,0.61%,0.00%,0.61%,0.00%,90.80%,2.45%,5.52%,2.45%,92.02%,5.52%,41.94%,40.32%
75480,0.69%,0.00%,2.08%,0.00%,72.22%,0.00%,25.00%,29.86%,67.36%,2.78%,51.02%,48.98%
75481,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,96.77%,0.00%,50.00%,50.00%
75482,0.52%,0.22%,14.61%,0.03%,62.12%,0.05%,22.48%,23.37%,69.71%,6.89%,48.79%,44.49%
75483,0.00%,0.00%,54.55%,0.00%,45.45%,0.00%,0.00%,0.00%,100.00%,0.00%,25.00%,25.00%
75485,0.00%,0.00%,0.00%,0.00%,64.71%,0.00%,41.18%,35.29%,64.71%,5.88%,42.86%,42.86%
75486,2.25%,0.45%,1.80%,0.00%,86.49%,0.00%,9.91%,4.95%,87.84%,7.21%,39.44%,38.03%
75487,1.12%,0.00%,22.47%,0.00%,64.61%,0.56%,10.67%,9.55%,83.71%,6.74%,40.00%,35.38%
75488,0.00%,0.76%,0.76%,0.00%,88.55%,0.76%,9.92%,16.03%,78.63%,6.11%,45.24%,40.48%
75489,0.00%,0.00%,2.63%,0.00%,85.09%,0.00%,12.28%,6.14%,85.96%,8.77%,40.91%,36.36%
75490,4.37%,0.00%,9.29%,0.00%,77.05%,0.55%,9.29%,13.11%,80.87%,6.56%,49.21%,44.44%
75491,0.42%,0.00%,12.71%,0.00%,75.85%,0.00%,11.02%,7.63%,86.86%,5.51%,38.60%,36.26%
75492,2.86%,0.00%,1.43%,0.00%,88.57%,0.00%,5.71%,12.86%,81.43%,5.71%,41.67%,41.67%
75493,1.14%,0.00%,1.70%,0.57%,33.52%,0.00%,63.07%,80.11%,15.34%,4.55%,68.75%,64.58%
75494,0.11%,0.11%,3.55%,0.00%,81.01%,0.00%,15.33%,13.50%,80.43%,6.06%,41.72%,38.54%
75495,1.56%,0.26%,4.68%,0.00%,78.96%,0.26%,14.55%,12.21%,80.78%,7.01%,42.75%,40.58%
75496,0.27%,0.00%,15.66%,0.00%,69.23%,0.00%,15.11%,14.84%,79.95%,5.22%,41.78%,39.04%
75497,0.39%,0.00%,0.77%,0.00%,83.40%,0.00%,15.83%,18.92%,76.06%,5.02%,42.00%,39.00%
75501,0.38%,0.36%,50.91%,0.05%,33.67%,0.04%,14.60%,6.25%,82.93%,10.82%,39.41%,36.08%
75502,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75503,0.33%,0.44%,52.08%,0.11%,32.25%,0.04%,14.79%,6.63%,83.14%,10.19%,43.19%,40.33%
75504,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,85.71%,85.71%,14.29%,0.00%,50.00%,50.00%
75505,0.00%,0.00%,69.23%,0.00%,15.38%,0.00%,15.38%,0.00%,92.31%,7.69%,40.00%,40.00%
75507,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75508,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75515,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,33.33%,33.33%,66.67%,0.00%,0.00%,0.00%
75520,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75521,0.00%,0.00%,75.00%,0.00%,25.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%
75524,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,75.00%,0.00%,25.00%,0.00%,0.00%
75531,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
75537,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%
75548,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,100.00%,0.00%,0.00%,100.00%,100.00%
75549,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
75550,0.00%,0.00%,21.82%,0.00%,50.00%,0.91%,27.27%,21.82%,68.18%,10.00%,43.59%,38.46%
75551,0.33%,0.17%,38.40%,0.00%,49.17%,0.22%,11.66%,4.09%,86.24%,9.67%,35.06%,32.27%
75554,0.66%,1.32%,4.64%,0.00%,76.16%,0.00%,17.22%,13.91%,77.48%,9.27%,40.68%,37.29%
75555,0.46%,0.00%,10.50%,0.00%,79.45%,0.00%,9.59%,0.46%,89.95%,9.59%,24.44%,22.22%
75556,0.00%,0.42%,10.17%,0.00%,83.90%,0.00%,5.93%,0.85%,94.92%,4.66%,22.99%,20.69%
75557,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,33.33%,0.00%,66.67%,33.33%,0.00%,0.00%
75558,0.00%,0.00%,1.62%,0.00%,65.95%,0.00%,31.89%,34.05%,58.38%,7.57%,48.44%,45.31%
75559,0.51%,0.00%,24.28%,0.00%,60.04%,0.00%,15.06%,10.25%,82.27%,7.48%,37.30%,34.05%
75560,0.00%,0.00%,41.43%,0.00%,44.29%,0.00%,13.81%,8.10%,85.71%,5.71%,25.00%,22.83%
75561,0.80%,0.11%,21.05%,0.00%,66.93%,0.00%,11.10%,5.72%,85.81%,8.35%,40.45%,36.31%
75562,0.00%,0.00%,65.00%,0.00%,30.00%,0.00%,5.00%,0.00%,95.00%,5.00%,10.00%,10.00%
75563,0.62%,0.62%,25.59%,0.00%,63.11%,0.37%,9.94%,4.35%,88.32%,7.20%,30.71%,27.45%
75564,0.00%,0.00%,41.67%,0.00%,41.67%,0.00%,8.33%,0.00%,100.00%,0.00%,20.00%,20.00%
75565,0.00%,0.00%,1.69%,0.00%,89.83%,0.00%,10.17%,1.69%,86.44%,11.86%,40.00%,35.00%
75566,0.00%,0.00%,42.86%,0.00%,49.35%,0.00%,7.79%,1.95%,90.26%,7.79%,17.14%,14.29%
75567,0.21%,0.43%,5.98%,0.21%,84.40%,0.00%,8.76%,2.78%,91.67%,5.34%,34.10%,32.37%
75568,0.40%,0.00%,35.45%,0.20%,53.66%,0.20%,10.30%,6.14%,86.14%,7.92%,30.59%,27.85%
75569,0.32%,0.79%,34.66%,0.00%,42.93%,0.00%,21.30%,20.35%,72.34%,7.47%,48.57%,45.24%
75570,0.12%,0.43%,28.89%,0.00%,59.08%,0.19%,11.28%,3.41%,87.54%,9.11%,39.51%,36.89%
75571,0.99%,0.00%,26.79%,0.00%,57.54%,0.00%,14.88%,9.33%,82.14%,8.53%,31.68%,28.71%
75572,0.00%,0.14%,29.83%,0.00%,57.73%,0.00%,12.43%,4.01%,85.77%,10.36%,31.91%,28.95%
75573,0.00%,0.00%,14.29%,0.00%,73.47%,0.00%,12.24%,12.24%,79.59%,8.16%,31.82%,31.82%
75574,0.00%,0.00%,1.15%,0.00%,90.84%,0.00%,7.63%,0.76%,91.98%,6.87%,35.85%,33.02%
75575,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
75587,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75601,0.49%,0.75%,39.31%,0.04%,33.54%,0.18%,25.73%,27.15%,65.79%,7.01%,41.29%,38.69%
75602,0.25%,0.23%,48.62%,0.02%,21.60%,0.02%,29.23%,33.81%,59.10%,7.09%,44.83%,41.60%
75603,0.43%,0.14%,41.62%,0.00%,34.54%,0.00%,23.41%,20.81%,72.11%,7.23%,37.74%,35.80%
75604,0.41%,0.24%,28.65%,0.02%,46.85%,0.06%,23.78%,24.66%,68.15%,7.19%,46.47%,43.75%
75605,0.45%,0.67%,29.64%,0.06%,50.36%,0.17%,18.66%,14.65%,77.72%,7.63%,43.49%,40.77%
75606,2.44%,0.00%,26.83%,0.00%,65.85%,0.00%,4.88%,2.44%,92.68%,2.44%,15.15%,15.15%
75607,0.00%,0.00%,72.00%,0.00%,12.00%,0.00%,12.00%,0.00%,92.00%,8.00%,38.46%,30.77%
75608,0.00%,0.00%,7.69%,0.00%,30.77%,0.00%,61.54%,46.15%,53.85%,0.00%,33.33%,33.33%
75613,0.00%,33.33%,33.33%,0.00%,33.33%,0.00%,33.33%,0.00%,66.67%,33.33%,0.00%,0.00%
75615,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75620,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75623,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75630,0.00%,0.44%,17.18%,0.00%,72.25%,0.00%,10.13%,7.49%,85.90%,7.05%,29.47%,28.42%
75631,0.54%,1.63%,29.35%,0.27%,51.63%,0.00%,16.85%,10.05%,80.98%,9.24%,40.91%,37.88%
75633,0.20%,0.15%,33.45%,0.00%,50.03%,0.20%,16.02%,14.16%,78.91%,6.93%,39.07%,36.13%
75636,0.00%,2.78%,55.56%,0.00%,25.00%,0.00%,19.44%,16.67%,77.78%,5.56%,22.22%,22.22%
75637,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,50.00%,0.00%,100.00%,50.00%,0.00%,0.00%
75638,0.71%,0.27%,34.04%,0.00%,45.57%,0.18%,19.15%,15.51%,74.82%,9.66%,37.44%,34.47%
75639,0.65%,0.00%,37.96%,0.00%,46.85%,0.00%,14.53%,8.24%,85.47%,6.51%,36.99%,32.95%
75640,0.46%,0.00%,16.55%,0.00%,73.10%,0.00%,9.89%,6.67%,88.28%,5.29%,38.61%,35.44%
75641,0.00%,0.00%,77.78%,0.00%,0.00%,0.00%,22.22%,11.11%,88.89%,0.00%,33.33%,33.33%
75642,0.00%,0.00%,13.04%,0.00%,73.91%,0.00%,8.70%,0.00%,95.65%,4.35%,50.00%,40.00%
75643,0.37%,0.00%,6.96%,0.00%,75.09%,0.00%,17.58%,15.75%,77.29%,6.96%,30.39%,28.43%
75644,0.43%,0.19%,19.62%,0.00%,63.75%,0.10%,15.91%,13.70%,80.43%,5.91%,40.60%,37.48%
75645,0.22%,0.30%,9.27%,0.07%,74.64%,0.07%,15.48%,13.09%,80.70%,6.21%,35.69%,32.66%
75647,0.49%,0.35%,28.48%,0.00%,56.55%,0.14%,14.07%,9.96%,82.52%,7.52%,37.45%,34.08%
75650,0.62%,0.31%,15.92%,0.00%,72.01%,0.10%,11.13%,5.20%,87.10%,7.70%,36.57%,34.29%
75651,0.00%,0.00%,12.61%,0.00%,79.47%,0.00%,7.92%,3.23%,89.44%,7.33%,37.50%,34.38%
75652,0.20%,0.20%,40.73%,0.00%,39.87%,0.10%,18.95%,17.74%,74.95%,7.31%,42.66%,39.61%
75653,0.00%,0.00%,66.67%,0.00%,16.67%,0.00%,16.67%,8.33%,75.00%,16.67%,16.67%,16.67%
75654,0.53%,0.21%,10.99%,0.05%,54.73%,0.05%,33.49%,41.89%,53.04%,5.07%,49.91%,48.21%
75655,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
75656,0.56%,0.00%,22.82%,0.00%,64.65%,0.11%,11.86%,7.49%,84.90%,7.61%,34.88%,31.10%
75657,0.43%,0.14%,40.34%,0.00%,50.32%,0.07%,8.69%,3.52%,89.02%,7.54%,35.03%,31.87%
75658,0.00%,0.00%,37.50%,0.00%,50.00%,0.00%,12.50%,12.50%,87.50%,0.00%,50.00%,50.00%
75659,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,75.00%,0.00%,0.00%,0.00%
75660,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75661,0.62%,0.00%,41.58%,0.00%,45.32%,0.00%,12.27%,8.94%,85.45%,5.41%,31.28%,28.91%
75662,0.29%,0.18%,23.20%,0.00%,51.49%,0.07%,24.78%,24.49%,67.66%,7.82%,41.94%,39.59%
75663,0.00%,0.00%,33.33%,0.00%,60.00%,0.00%,6.67%,6.67%,93.33%,0.00%,33.33%,16.67%
75666,0.00%,0.00%,8.33%,0.00%,91.67%,0.00%,8.33%,8.33%,91.67%,0.00%,33.33%,33.33%
75667,0.00%,0.00%,30.06%,0.00%,48.55%,0.00%,21.39%,19.08%,73.99%,6.94%,42.62%,34.43%
75668,0.00%,1.88%,38.70%,0.00%,46.03%,0.00%,13.39%,7.11%,82.85%,10.04%,34.97%,33.33%
75669,0.00%,0.00%,30.43%,0.00%,60.87%,0.00%,10.87%,6.52%,86.96%,6.52%,23.81%,23.81%
